Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Open,High,Low,Close,Adj Close,Volume
1950-01-01,16.88,1.15,2.34,23.5,2.32,179.46,12.23,24.84,10.75,16.66,17.09,16.65,17.049999,17.049999,42570000
1950-02-01,17.21,1.16,2.35,23.5,2.34,182.96,12.33,25.02,10.91,17.049999,17.35,16.99,17.219999,17.219999,33430000
1950-03-01,17.35,1.17,2.37,23.6,2.36,183.67,12.39,25.09,10.91,17.24,17.610001,17.07,17.290001,17.290001,40410000
1950-04-01,17.84,1.18,2.43,23.6,2.38,188.86,12.49,25.69,11.18,17.34,18.07,17.34,18.07,18.07,48250000
1950-05-01,18.44,1.19,2.48,23.7,2.4,194.39,12.54,26.18,11.46,18.219999,18.780001,18.110001,18.780001,18.780001,45080000
1950-06-01,18.74,1.2,2.54,23.8,2.42,196.72,12.6,26.66,11.55,18.77,19.4,17.440001,17.690001,17.690001,45660000
1950-07-01,17.38,1.24,2.6,24.1,2.44,180.17,12.89,26.95,10.54,17.639999,17.91,16.68,17.84,17.84,44570000
1950-08-01,18.43,1.29,2.66,24.3,2.47,189.48,13.23,27.35,11.04,18.02,18.82,17.950001,18.42,18.42,38900000
1950-09-01,19.08,1.33,2.72,24.4,2.49,195.36,13.62,27.85,11.34,18.549999,19.450001,18.540001,19.450001,19.450001,38590000
1950-10-01,19.87,1.38,2.76,24.6,2.51,201.8,13.98,28.03,11.66,19.690001,20.16,19.530001,19.530001,19.530001,48360000
1950-11-01,19.83,1.42,2.8,24.7,2.53,200.58,14.4,28.32,11.54,19.559999,20.32,19.360001,19.51,19.51,43180000
1950-12-01,19.75,1.47,2.84,25,2.55,197.37,14.69,28.38,11.31,19.66,20.43,19,20.41,20.41,60830000
1951-01-01,21.21,1.49,2.84,25.4,2.57,208.62,14.62,27.9,11.9,20.77,21.74,20.690001,21.66,21.66,70180000
1951-02-01,22,1.5,2.83,25.7,2.58,213.87,14.61,27.54,12.14,21.77,22.209999,21.76,21.799999,21.799999,41210000
1951-03-01,21.63,1.52,2.83,25.8,2.59,209.46,14.72,27.4,11.84,21.85,21.950001,21.25,21.4,21.4,35530000
1951-04-01,21.92,1.53,2.79,25.8,2.6,212.26,14.85,27.05,11.95,21.32,22.43,21.26,22.43,22.43,37790000
1951-05-01,21.93,1.55,2.76,25.9,2.61,211.54,14.92,26.59,11.86,22.530001,22.809999,21.030001,21.52,21.52,38440000
1951-06-01,21.55,1.56,2.72,25.9,2.62,207.87,15.05,26.24,11.62,21.48,22.049999,20.959999,20.959999,20.959999,36220000
1951-07-01,21.93,1.55,2.65,25.9,2.63,211.54,14.92,25.56,11.78,21.1,22.629999,21.1,22.4,22.4,27990000
1951-08-01,22.89,1.53,2.58,25.9,2.63,220.8,14.79,24.89,12.26,22.51,23.280001,22.51,23.280001,23.280001,33630000
1951-09-01,23.48,1.52,2.51,26.1,2.64,224.76,14.55,24.03,12.44,23.280001,23.709999,23.26,23.26,23.26,36420000
1951-10-01,23.36,1.48,2.49,26.2,2.65,222.75,14.14,23.71,12.31,23.469999,23.85,22.450001,22.940001,22.940001,42930000
1951-11-01,22.71,1.45,2.46,26.4,2.66,214.92,13.69,23.31,11.85,23.1,23.1,22.299999,22.879999,22.879999,29280000
1951-12-01,23.41,1.41,2.44,26.5,2.67,220.7,13.29,23,12.15,22.940001,23.77,22.940001,23.77,23.77,34610000
1952-01-01,24.19,1.41,2.43,26.5,2.68,228.06,13.32,22.88,12.53,23.799999,24.66,23.74,24.139999,24.139999,41560000
1952-02-01,23.75,1.42,2.41,26.3,2.69,225.61,13.46,22.93,12.36,24.299999,24.41,23.09,23.26,23.26,27190000
1952-03-01,23.81,1.42,2.4,26.3,2.71,226.18,13.49,22.8,12.36,23.280001,24.370001,23.280001,24.370001,24.370001,29500000
1952-04-01,23.74,1.43,2.38,26.4,2.72,224.66,13.53,22.52,12.24,24.18,24.18,23.32,23.32,23.32,28880000
1952-05-01,23.73,1.44,2.36,26.4,2.73,224.57,13.63,22.33,12.2,23.17,23.940001,23.17,23.860001,23.860001,24010000
1952-06-01,24.38,1.45,2.34,26.5,2.74,229.85,13.67,22.06,12.45,23.799999,24.959999,23.780001,24.959999,24.959999,25530000
1952-07-01,25.08,1.45,2.35,26.7,2.75,234.68,13.57,21.96,12.67,25.120001,25.4,24.809999,25.4,25.4,24100000
1952-08-01,25.18,1.45,2.35,26.7,2.77,235.61,13.57,22.02,12.68,25.450001,25.549999,24.83,25.030001,25.030001,20890000
1952-09-01,24.78,1.45,2.36,26.7,2.78,231.87,13.57,22.08,12.43,25.15,25.25,24.450001,24.540001,24.540001,24100000
1952-10-01,24.26,1.44,2.37,26.7,2.79,227,13.44,22.21,12.13,24.48,24.58,23.799999,24.52,24.52,25940000
1952-11-01,25.03,1.42,2.39,26.7,2.81,234.21,13.32,22.33,12.47,24.6,25.66,24.6,25.66,25.66,30210000
1952-12-01,26.04,1.41,2.4,26.7,2.82,243.66,13.19,22.46,12.93,25.68,26.59,25.610001,26.57,26.57,40480000
1953-01-01,26.18,1.41,2.41,26.6,2.83,245.89,13.24,22.64,13.01,26.540001,26.66,25.860001,26.379999,26.379999,34060000
1953-02-01,25.86,1.41,2.42,26.5,2.8,243.8,13.29,22.82,12.86,26.51,26.540001,25.48,25.9,25.9,30170000
1953-03-01,25.99,1.41,2.43,26.6,2.77,244.11,13.24,22.82,12.83,25.93,26.33,25.290001,25.290001,25.290001,42510000
1953-04-01,24.71,1.41,2.46,26.6,2.83,232.08,13.27,23.07,12.16,25.25,25.25,24.190001,24.620001,24.620001,34370000
1953-05-01,24.84,1.42,2.48,26.7,3.05,232.43,13.26,23.24,12.14,24.73,25.059999,24.459999,24.540001,24.540001,25730000
1953-06-01,23.95,1.42,2.51,26.8,3.11,223.27,13.24,23.4,11.62,24.15,24.219999,23.540001,24.139999,24.139999,26080000
1953-07-01,24.29,1.42,2.52,26.8,2.93,226.44,13.24,23.52,11.75,24.24,24.75,24.07,24.75,24.75,22240000
1953-08-01,24.39,1.42,2.54,26.9,2.95,226.52,13.19,23.56,11.72,24.84,24.84,23.32,23.32,23.32,23890000
1953-09-01,23.27,1.42,2.55,26.9,2.87,216.12,13.19,23.68,11.14,23.42,23.65,22.709999,23.35,23.35,27150000
1953-10-01,23.97,1.43,2.54,27,2.66,221.8,13.23,23.47,11.39,23.49,24.58,23.389999,24.540001,24.540001,25710000
1953-11-01,24.5,1.44,2.52,26.9,2.68,227.55,13.37,23.44,11.64,24.66,24.76,24.25,24.76,24.76,26640000
1953-12-01,24.83,1.45,2.51,26.9,2.59,230.61,13.47,23.31,11.75,24.780001,24.99,24.549999,24.809999,24.809999,36150000
1954-01-01,25.46,1.46,2.52,26.9,2.48,236.46,13.53,23.44,12,24.950001,26.09,24.799999,26.08,26.08,33420000
1954-02-01,26.02,1.46,2.54,26.9,2.47,241.66,13.59,23.56,12.22,25.99,26.299999,25.809999,26.15,26.15,33260000
1954-03-01,26.57,1.47,2.55,26.9,2.37,246.77,13.65,23.68,12.42,26.25,26.940001,26.25,26.940001,26.940001,44050000
1954-04-01,27.63,1.46,2.57,26.8,2.29,257.57,13.64,23.99,12.91,27.17,28.26,27.01,28.26,28.26,43500000
1954-05-01,28.73,1.46,2.6,26.9,2.37,266.83,13.53,24.12,13.31,28.209999,29.190001,28.209999,29.190001,29.190001,41900000
1954-06-01,28.96,1.45,2.62,26.9,2.38,268.97,13.47,24.33,13.36,29.190001,29.43,28.15,29.209999,29.209999,42230000
1954-07-01,30.13,1.46,2.62,26.9,2.3,279.83,13.53,24.36,13.83,29.209999,30.879999,29.209999,30.879999,30.879999,51840000
1954-08-01,30.73,1.46,2.63,26.9,2.36,285.41,13.59,24.4,14.04,30.99,31.209999,29.83,29.83,29.83,56900000
1954-09-01,31.45,1.47,2.63,26.8,2.38,293.18,13.7,24.52,14.36,30.040001,32.689999,30.040001,32.310001,32.310001,41220000
1954-10-01,32.18,1.49,2.68,26.8,2.43,299.99,13.92,24.95,14.62,32.290001,32.759998,31.68,31.68,31.68,44170000
1954-11-01,33.44,1.52,2.72,26.8,2.48,311.74,14.14,25.39,15.12,31.790001,34.549999,31.790001,34.240002,34.240002,63010000
1954-12-01,34.97,1.54,2.77,26.7,2.51,327.22,14.41,25.92,15.79,33.990002,35.98,33.990002,35.98,35.98,76480000
1955-01-01,35.6,1.55,2.83,26.7,2.61,333.11,14.47,26.51,15.99,36.75,36.75,34.580002,36.630001,36.630001,74650000
1955-02-01,36.79,1.55,2.9,26.7,2.65,344.25,14.53,27.1,16.44,36.720001,37.150002,36.439999,36.759998,36.759998,60810000
1955-03-01,36.5,1.56,2.96,26.7,2.68,341.54,14.6,27.7,16.22,36.830002,37.52,34.959999,36.580002,36.580002,65780000
1955-04-01,37.76,1.56,3.05,26.7,2.75,353.33,14.63,28.51,16.69,36.950001,38.32,36.830002,37.959999,37.959999,53790000
1955-05-01,37.6,1.57,3.13,26.7,2.76,351.83,14.66,29.32,16.52,38.040001,38.040001,36.970001,37.91,37.91,45450000
1955-06-01,39.78,1.57,3.22,26.7,2.78,372.23,14.69,30.13,17.37,37.959999,41.029999,37.959999,41.029999,41.029999,58120000
1955-07-01,42.69,1.59,3.29,26.8,2.9,397.97,14.79,30.7,18.45,41.189999,43.759998,41.189999,43.52,43.52,48470000
1955-08-01,42.43,1.6,3.37,26.8,2.97,395.54,14.95,31.38,18.22,42.93,43.18,41.740002,43.18,43.18,41800000
1955-09-01,44.34,1.62,3.44,26.9,2.97,411.81,15.05,31.95,18.84,43.369999,45.630001,42.610001,43.669998,43.669998,60080000
1955-10-01,42.11,1.63,3.5,26.9,2.88,391.1,15.11,32.51,17.77,42.490002,42.990002,40.799999,42.34,42.34,42150000
1955-11-01,44.95,1.63,3.56,26.9,2.89,417.48,15.17,33.06,18.84,42.279999,46.41,42.279999,45.509998,45.509998,46360000
1955-12-01,45.37,1.64,3.62,26.8,2.96,422.95,15.29,33.75,18.94,45.349998,45.889999,44.950001,45.48,45.48,50990000
1956-01-01,44.15,1.67,3.64,26.8,2.9,411.58,15.57,33.96,18.29,45.16,45.16,43.110001,43.82,43.82,47160000
1956-02-01,44.43,1.7,3.67,26.8,2.84,414.19,15.85,34.18,18.27,44.029999,45.43,43.419998,45.34,45.34,46370000
1956-03-01,47.49,1.73,3.69,26.8,2.96,442.71,16.13,34.4,19.37,45.540001,48.869999,45.540001,48.48,48.48,60310000
1956-04-01,48.05,1.75,3.66,26.9,3.18,446.27,16.28,33.99,19.37,48.700001,48.849998,47.09,48.380001,48.380001,54100000
1956-05-01,46.54,1.78,3.63,27,3.07,430.64,16.44,33.59,18.54,48.16,48.509998,44.099998,45.200001,45.200001,53210000
1956-06-01,46.27,1.8,3.6,27.2,3,425,16.53,33.07,18.16,45.580002,47.130001,45.139999,46.970001,46.970001,37180000
1956-07-01,48.78,1.81,3.55,27.4,3.11,444.78,16.53,32.4,18.86,46.93,49.48,46.93,49.389999,49.389999,45650000
1956-08-01,48.49,1.83,3.51,27.3,3.33,443.76,16.72,32.09,18.67,49.619999,49.639999,46.939999,47.509998,47.509998,44450000
1956-09-01,46.84,1.84,3.46,27.4,3.38,427.09,16.78,31.55,17.84,47.889999,48.099998,45.349998,45.349998,45.349998,37220000
1956-10-01,46.24,1.81,3.44,27.5,3.34,420.09,16.41,31.28,17.42,44.700001,47,44.700001,45.580002,45.580002,40300000
1956-11-01,45.76,1.77,3.43,27.5,3.49,415.73,16.11,31.13,17.12,46.52,47.599998,44.380001,45.080002,45.080002,43550000
1956-12-01,46.44,1.74,3.41,27.6,3.59,420.38,15.75,30.87,17.2,45.98,47.040001,45.84,46.669998,46.669998,46330000
1957-01-01,45.43,1.74,3.41,27.6,3.46,411.23,15.72,30.84,16.72,46.200001,46.66,44.400002,44.720001,44.720001,48140000
1957-02-01,43.47,1.73,3.4,27.7,3.34,392.07,15.63,30.7,15.84,44.619999,44.619999,42.389999,43.259998,43.259998,37530000
1957-03-01,44.03,1.73,3.4,27.8,3.41,395.69,15.55,30.56,15.9,43.740002,44.23,43.740002,44.110001,44.110001,35620000
1957-04-01,45.05,1.73,3.41,27.9,3.48,403.41,15.49,30.51,16.12,44.139999,45.740002,44.139999,45.740002,45.740002,48290000
1957-05-01,46.78,1.73,3.41,28,3.6,417.4,15.44,30.46,16.6,46.02,47.43,46.02,47.43,47.43,52560000
1957-06-01,47.55,1.73,3.42,28.1,3.8,422.76,15.38,30.41,16.73,47.369999,48.240002,46.779999,47.369999,47.369999,43470000
1957-07-01,48.51,1.74,3.44,28.3,3.93,428.25,15.36,30.34,16.87,47.43,49.130001,47.43,47.91,47.91,48230000
1957-08-01,45.84,1.75,3.45,28.3,3.93,404.68,15.45,30.49,15.87,47.790001,47.790001,43.889999,45.220001,45.220001,41390000
1957-09-01,43.98,1.76,3.47,28.3,3.92,388.26,15.54,30.63,15.16,45.439999,45.439999,42.419998,42.419998,42.419998,36890000
